iter	k	algo	totaltime	relerr
26	96	1	8.59458	0.324625
27	96	1	8.89936	0.324612
28	96	1	9.23203	0.324608
29	96	1	9.53283	0.324612
0	96	2	0.387899	0.156185
1	96	2	0.684551	0.107964
2	96	2	0.985564	0.0967233
3	96	2	1.28599	0.0924434
4	96	2	1.59989	0.0895783
5	96	2	1.89665	0.0875299
6	96	2	2.19459	0.086047
7	96	2	2.48188	0.0849072
8	96	2	2.77738	0.0840711
9	96	2	3.06852	0.0834663
10	96	2	3.36366	0.0830285
11	96	2	3.65993	0.0826456
12	96	2	3.9493	0.0822582
13	96	2	4.23729	0.0818676
14	96	2	4.52814	0.081493
15	96	2	4.82453	0.081167
16	96	2	5.11451	0.0808993
17	96	2	5.40993	0.0807054
18	96	2	5.69823	0.080569
19	96	2	5.99642	0.0804423
20	96	2	6.29685	0.0803163
21	96	2	6.59703	0.0801826
22	96	2	6.89021	0.0800451
23	96	2	7.18121	0.0799137
24	96	2	7.47892	0.0798
25	96	2	7.77511	0.0797166
26	96	2	8.07321	0.0796556
27	96	2	8.37153	0.0796132
28	96	2	8.67104	0.0795806
29	96	2	8.96823	0.0795513
0	96	4	0.400027	0.133332
1	96	4	0.720671	0.0838831
2	96	4	1.04117	0.0765552
3	96	4	1.36857	0.0744148
4	96	4	1.68043	0.0734789
5	96	4	2.0212	0.0729781
6	96	4	2.33493	0.0726726
7	96	4	2.6477	0.0724662
8	96	4	2.9578	0.0723151
9	96	4	3.27819	0.0721969
10	96	4	3.5896	0.0721006
11	96	4	3.95375	0.0720208
12	96	4	4.26254	0.071953
13	96	4	4.59143	0.0718945
14	96	4	4.90294	0.0718436
15	96	4	5.20856	0.0717994
16	96	4	5.55388	0.0717604
17	96	4	5.86863	0.0717257
18	96	4	6.20448	0.0716946
19	96	4	6.52092	0.0716666
20	96	4	6.86567	0.071641
21	96	4	7.178	0.0716178
22	96	4	7.50879	0.0715966
23	96	4	7.82639	0.0715773
24	96	4	8.13948	0.0715597
25	96	4	8.46997	0.0715435
26	96	4	8.77992	0.0715285
27	96	4	9.10687	0.0715144
28	96	4	9.4165	0.0715011
29	96	4	9.72252	0.0714884
0	96	5	0.960809	0.126122
1	96	5	2.11366	0.0798865
2	96	5	3.188	0.0737918
3	96	5	4.22256	0.0722255
4	96	5	5.22269	0.0714927
5	96	5	6.22197	0.0710411
6	96	5	7.14653	0.0707279
7	96	5	8.30302	0.0704925
8	96	5	9.40704	0.0703065
9	96	5	10.5503	0.0701555
10	96	5	11.6486	0.0700308
11	96	5	12.8376	0.0699263
12	96	5	13.9066	0.0698369
13	96	5	15.0181	0.0697595
14	96	5	16.1272	0.0696917
15	96	5	17.2293	0.0696317
