iter	k	algo	totaltime	relerr	gpu
18	64	1	2.43997	0.921	1
19	64	1	2.56724	0.920994	1
20	64	1	2.6948	0.920988	1
21	64	1	2.82042	0.920983	1
22	64	1	2.94894	0.920978	1
23	64	1	3.08422	0.920974	1
24	64	1	3.20926	0.920969	1
25	64	1	3.33386	0.920965	1
26	64	1	3.46803	0.920962	1
27	64	1	3.5969	0.920959	1
28	64	1	3.72668	0.920956	1
29	64	1	3.85812	0.920954	1
0	64	1	0.106003	0.924146	0
1	64	1	0.201764	0.922589	0
2	64	1	0.296613	0.921856	0
3	64	1	0.391482	0.921546	0
4	64	1	0.488684	0.921388	0
5	64	1	0.588597	0.921288	0
6	64	1	0.693627	0.921218	0
7	64	1	0.79059	0.921172	0
8	64	1	0.886706	0.921142	0
9	64	1	0.985631	0.921117	0
10	64	1	1.08099	0.921095	0
11	64	1	1.17796	0.921077	0
12	64	1	1.27397	0.92106	0
13	64	1	1.37286	0.921046	0
14	64	1	1.47272	0.921034	0
15	64	1	1.58678	0.921024	0
16	64	1	1.69756	0.921015	0
17	64	1	1.8011	0.921007	0
18	64	1	1.90289	0.921	0
19	64	1	1.99877	0.920994	0
20	64	1	2.0959	0.920988	0
21	64	1	2.19576	0.920983	0
22	64	1	2.29296	0.920978	0
23	64	1	2.39	0.920974	0
24	64	1	2.48871	0.920969	0
25	64	1	2.58562	0.920965	0
26	64	1	2.69626	0.920962	0
27	64	1	2.79538	0.920959	0
28	64	1	2.89173	0.920956	0
29	64	1	2.98782	0.920954	0
0	64	2	0.135052	0.921022	1
1	64	2	0.255851	0.920703	1
2	64	2	0.375978	0.920639	1
3	64	2	0.497213	0.920606	1
4	64	2	0.620871	0.920579	1
5	64	2	0.739374	0.920553	1
6	64	2	0.855519	0.920526	1
7	64	2	0.971676	0.920498	1
8	64	2	1.0856	0.920472	1
9	64	2	1.20347	0.920449	1
10	64	2	1.32151	0.920429	1
11	64	2	1.43762	0.920415	1
12	64	2	1.56169	0.920404	1
13	64	2	1.67838	0.920395	1
14	64	2	1.799	0.920389	1
15	64	2	1.91726	0.920383	1
16	64	2	2.03545	0.920379	1
17	64	2	2.1545	0.920375	1
18	64	2	2.27507	0.920373	1
19	64	2	2.39166	0.920371	1
20	64	2	2.50641	0.92037	1
21	64	2	2.62748	0.920368	1
22	64	2	2.74792	0.920366	1
23	64	2	2.86603	0.920364	1
24	64	2	2.98202	0.920361	1
25	64	2	3.09867	0.92036	1
26	64	2	3.21607	0.920359	1
27	64	2	3.33478	0.920358	1
28	64	2	3.45704	0.920357	1
29	64	2	3.57828	0.920356	1
0	64	2	0.0999783	0.921022	0
1	64	2	0.189936	0.920703	0
2	64	2	0.278239	0.920639	0
3	64	2	0.36618	0.920606	0
4	64	2	0.45324	0.920579	0
5	64	2	0.54114	0.920553	0
6	64	2	0.628646	0.920526	0
7	64	2	0.716592	0.920498	0
8	64	2	0.804858	0.920472	0
9	64	2	0.894129	0.920449	0
10	64	2	0.984597	0.920429	0
11	64	2	1.07307	0.920415	0
12	64	2	1.16185	0.920404	0
13	64	2	1.25145	0.920395	0
14	64	2	1.33888	0.920389	0
15	64	2	1.4311	0.920383	0
16	64	2	1.52567	0.920379	0
17	64	2	1.6151	0.920375	0
18	64	2	1.70719	0.920373	0
19	64	2	1.79796	0.920371	0
